iter	Passed	Remaining
889	1175	145
890	1175	143
891	1181	143
892	1182	141
893	1191	141
894	1191	139
895	1196	138
896	1197	137
897	1198	136
898	1198	134
899	1199	133
900	1200	131
901	1201	130
902	1202	129
903	1202	127
904	1205	126
905	1206	125
906	1207	123
907	1208	122
908	1208	121
909	1209	119
910	1210	118
911	1211	116
912	1219	116
913	1220	114
914	1221	113
915	1222	112
916	1223	110
917	1224	109
918	1224	107
919	1225	106
920	1227	105
921	1228	103
922	1228	102
923	1229	101
924	1230	99
925	1230	98
926	1231	97
927	1232	95
928	1233	94
929	1234	92
930	1235	91
931	1235	90
932	1237	88
933	1238	87
934	1240	86
935	1240	84
936	1242	83
937	1243	82
938	1246	80
939	1247	79
940	1247	78
941	1251	77
942	1252	75
943	1255	74
944	1256	73
945	1259	71
946	1260	70
947	1263	69
948	1264	67
949	1267	66
950	1268	65
951	1269	64
952	1270	62
953	1271	61
954	1272	59
955	1272	58
956	1273	57
957	1274	55
958	1275	54
959	1275	53
960	1276	51
961	1277	50
962	1278	49
963	1278	47
964	1279	46
965	1280	45
966	1281	43
967	1282	42
968	1282	41
969	1283	39
970	1284	38
971	1285	37
972	1285	35
973	1286	34
974	1287	33
975	1288	31
976	1289	30
977	1290	29
978	1290	27
979	1291	26
980	1292	25
981	1293	23
982	1294	22
983	1296	21
984	1298	19
985	1298	18
986	1299	17
987	1300	15
988	1301	14
989	1302	13
990	1303	11
991	1320	10
992	1321	9
993	1322	7
994	1322	6
995	1323	5
996	1324	3
997	1324	2
998	1329	1
999	1330	0
